trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.07820181411746,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-88.95455704152496,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-97.49733263467508,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-100.24161039482622,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-215.7765852442981,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-129.0941830382493,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-76.97264366532045,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-81.92710371068672,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-132.4092580095879,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-72.46274691384549,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-143.9306363025715,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-284.9988055155228,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 7}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-80.10928676960455,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-41.596985906236924,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-66.92328166740283,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-171.81617479504712,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-130.64350058079225,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-173.8259862722566,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-55.82407785702292,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,9,-183.0181873833449,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 3}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-158.42915950076855,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-137.13490440037546,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,11,-12.716833423879061,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-81.67662104835334,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-53.480728910314625,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-191.11075338549492,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-47.913178129029646,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-40.22410765236668,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",35,0,-178.61750929587024,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-149.3665888587935,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
