trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9995}",20,0,-95.78583013785553,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.9990000000000001}",20,0,-155.74733702326287,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.9985000000000002}",20,0,-99.32765728873655,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9980000000000002}",30,0,-260.2564153087143,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.9975000000000003}",20,0,-139.6632447282641,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.9970000000000003}",20,0,-120.93508422496463,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.9965000000000004}",30,0,-178.73351535274006,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.05, 'e': 0.9960000000000004}",20,0,-171.28352088830292,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.9955000000000005}",20,0,-135.7966112497318,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.9950000000000006}",20,4,-54.61128118685974,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.05, 'e': 0.9945000000000006}",20,0,-67.91543375474289,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.9940000000000007}",20,0,-128.44248837260918,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.9935000000000007}",25,0,-141.54450784993102,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.9930000000000008}",35,12,-105.97927262490178,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.9925000000000008}",20,0,-228.95831343232925,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
16,False,"{'a': 0.05, 'e': 0.9920000000000009}",25,5,-71.12029973483632,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.05, 'e': 0.9915000000000009}",20,0,-172.66394476388933,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.05, 'e': 0.991000000000001}",25,0,-116.39112428061651,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.990500000000001}",20,0,-9.790088881918836,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.9900000000000011}",30,0,-108.09654905002101,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.9895000000000012}",20,0,-103.94821674808057,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.9890000000000012}",25,0,-157.3222822367382,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.05, 'e': 0.9885000000000013}",20,0,-56.58875805820122,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.9880000000000013}",25,0,-113.94191476794558,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.05, 'e': 0.9875000000000014}",25,0,-120.97779615615558,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.05, 'e': 0.9870000000000014}",30,0,-133.19687096078144,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.9865000000000015}",30,0,-126.97605737883268,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
28,False,"{'a': 0.05, 'e': 0.9860000000000015}",20,0,-226.57141014795636,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 4}",0
29,False,"{'a': 0.05, 'e': 0.9855000000000016}",20,0,-71.71162711810997,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.9850000000000017}",20,0,-88.75308083377567,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
31,False,"{'a': 0.05, 'e': 0.9845000000000017}",35,0,-104.06036770664502,"{0: 21, 1: 5, 2: 8, 3: 1, 4: 0}",0
32,False,"{'a': 0.05, 'e': 0.9840000000000018}",30,0,-360.3150722292429,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 7}",0
33,False,"{'a': 0.05, 'e': 0.9835000000000018}",20,0,-140.28384855088072,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.05, 'e': 0.9830000000000019}",25,0,-181.62892330034987,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
35,False,"{'a': 0.05, 'e': 0.9825000000000019}",20,0,-104.17878932800444,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
36,False,"{'a': 0.05, 'e': 0.982000000000002}",25,0,-130.8110912368183,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.05, 'e': 0.981500000000002}",30,0,-200.92703127435988,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
38,False,"{'a': 0.05, 'e': 0.9810000000000021}",25,0,-157.28858803847496,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
39,False,"{'a': 0.05, 'e': 0.9805000000000021}",30,0,-153.84587563535814,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
40,False,"{'a': 0.05, 'e': 0.9800000000000022}",25,0,-158.0325468485743,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
41,False,"{'a': 0.05, 'e': 0.9795000000000023}",20,0,-75.73312771901325,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.05, 'e': 0.9790000000000023}",25,18,0.7906361977722023,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.05, 'e': 0.9785000000000024}",35,0,-139.6944964544443,"{0: 22, 1: 5, 2: 4, 3: 3, 4: 1}",0
44,False,"{'a': 0.05, 'e': 0.9780000000000024}",30,0,-122.1415882553331,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.9775000000000025}",20,0,-98.74312129197894,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.9770000000000025}",20,0,-115.26335092345579,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.05, 'e': 0.9765000000000026}",25,0,-114.08569855836001,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
48,False,"{'a': 0.05, 'e': 0.9760000000000026}",20,0,-174.8558290094021,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
49,False,"{'a': 0.05, 'e': 0.9755000000000027}",30,0,-197.55150545106176,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
50,False,"{'a': 0.05, 'e': 0.9750000000000028}",25,0,-174.91441637905803,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
51,False,"{'a': 0.05, 'e': 0.9745000000000028}",20,7,-91.42069398449142,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
52,False,"{'a': 0.05, 'e': 0.9740000000000029}",20,0,-88.02792885634841,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.05, 'e': 0.9735000000000029}",25,0,-114.21045947220688,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
54,False,"{'a': 0.05, 'e': 0.973000000000003}",25,2,-40.902427495752896,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.05, 'e': 0.972500000000003}",30,0,-83.40033632546361,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
56,False,"{'a': 0.05, 'e': 0.9720000000000031}",20,0,-143.97500980471952,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
57,False,"{'a': 0.05, 'e': 0.9715000000000031}",20,0,-138.7941497775596,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.05, 'e': 0.9710000000000032}",25,0,-114.46402016801774,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.05, 'e': 0.9705000000000032}",25,1,-203.1852909730807,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 4}",1
60,False,"{'a': 0.05, 'e': 0.9700000000000033}",20,2,-160.87419866080077,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 2}",1
61,False,"{'a': 0.05, 'e': 0.9695000000000034}",35,21,-56.86517345348773,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
62,False,"{'a': 0.05, 'e': 0.9690000000000034}",20,0,-86.51427950318197,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.05, 'e': 0.9685000000000035}",25,0,-36.91030748859503,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.9680000000000035}",25,0,-149.92698391047003,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
65,False,"{'a': 0.05, 'e': 0.9675000000000036}",20,0,-128.72242195074247,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
66,False,"{'a': 0.05, 'e': 0.9670000000000036}",20,0,-171.22275056929828,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
67,False,"{'a': 0.05, 'e': 0.9665000000000037}",30,0,-161.18097956991755,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
68,False,"{'a': 0.05, 'e': 0.9660000000000037}",25,0,-108.68710076133416,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.05, 'e': 0.9655000000000038}",25,0,-51.436125838043814,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.05, 'e': 0.9650000000000039}",25,0,-119.36493486932405,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
71,False,"{'a': 0.05, 'e': 0.9645000000000039}",20,0,-55.14605836267179,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.05, 'e': 0.964000000000004}",20,10,-7.530450460261988,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.963500000000004}",20,0,-68.19496414162803,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
74,False,"{'a': 0.05, 'e': 0.9630000000000041}",20,0,-96.40672689296198,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
75,False,"{'a': 0.05, 'e': 0.9625000000000041}",25,5,-51.83962390476536,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.05, 'e': 0.9620000000000042}",30,0,-219.7358586245665,"{0: 11, 1: 7, 2: 8, 3: 2, 4: 2}",0
77,False,"{'a': 0.05, 'e': 0.9615000000000042}",25,14,-3.6662995408081454,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.9610000000000043}",25,0,-171.5186242951511,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.05, 'e': 0.9605000000000044}",20,0,-194.96594076427786,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
80,False,"{'a': 0.05, 'e': 0.9600000000000044}",25,0,-321.42212500197576,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 5}",0
81,False,"{'a': 0.05, 'e': 0.9595000000000045}",20,0,-75.36322017524715,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.05, 'e': 0.9590000000000045}",20,0,-94.5100705198652,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.05, 'e': 0.9585000000000046}",20,0,-95.48587667258106,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.05, 'e': 0.9580000000000046}",20,0,-87.31668283872226,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
85,False,"{'a': 0.05, 'e': 0.9575000000000047}",35,13,-58.85567932039368,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
86,False,"{'a': 0.05, 'e': 0.9570000000000047}",25,0,-134.5698041406289,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
87,False,"{'a': 0.05, 'e': 0.9565000000000048}",25,0,-132.89708960961076,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
88,False,"{'a': 0.05, 'e': 0.9560000000000048}",30,0,-181.7973730562323,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
89,False,"{'a': 0.05, 'e': 0.9555000000000049}",20,0,-64.2694745196108,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
90,False,"{'a': 0.05, 'e': 0.955000000000005}",30,0,-129.64887596150757,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
91,False,"{'a': 0.05, 'e': 0.954500000000005}",30,0,-94.1213577280626,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
92,False,"{'a': 0.05, 'e': 0.9540000000000051}",30,0,-142.46373161798311,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
93,False,"{'a': 0.05, 'e': 0.9535000000000051}",30,0,-187.386776659403,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
94,False,"{'a': 0.05, 'e': 0.9530000000000052}",25,0,-141.9684142455091,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
95,False,"{'a': 0.05, 'e': 0.9525000000000052}",25,0,-135.39658249656694,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
96,False,"{'a': 0.05, 'e': 0.9520000000000053}",20,0,-99.57984275657903,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.05, 'e': 0.9515000000000053}",25,5,-80.6152229851499,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
98,False,"{'a': 0.05, 'e': 0.9510000000000054}",30,0,-250.81275759340105,"{0: 15, 1: 3, 2: 5, 3: 4, 4: 3}",0
99,False,"{'a': 0.05, 'e': 0.9505000000000055}",35,9,-154.18484311545947,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 3}",1
100,False,"{'a': 0.05, 'e': 0.9500000000000055}",30,0,-226.24082623890283,"{0: 17, 1: 1, 2: 6, 3: 3, 4: 3}",0
101,False,"{'a': 0.05, 'e': 0.9495000000000056}",20,0,-129.47170742009612,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.05, 'e': 0.9490000000000056}",20,0,-51.53892567095591,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.05, 'e': 0.9485000000000057}",20,0,-78.84204701688677,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
104,False,"{'a': 0.05, 'e': 0.9480000000000057}",25,0,-149.44639823566922,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
105,False,"{'a': 0.05, 'e': 0.9475000000000058}",30,0,-131.33761933476947,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
106,False,"{'a': 0.05, 'e': 0.9470000000000058}",20,0,-88.49967567687654,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
107,False,"{'a': 0.05, 'e': 0.9465000000000059}",20,0,-41.9147595591718,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
