trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.37198148978146,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.155936608105957,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.7612133798247,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.31455260831511,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.2679474025689,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.50433371072103,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.75943393644613,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.6098681583971,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.50688641356476,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.10059223575243,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,9,-40.403848501092924,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,4,-225.0504201494371,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 4}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.46939001578019,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.4351554878142,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.42735957523135,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.59476124611314,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,6,-61.70761573676261,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.22332736573463,"{0: 17, 1: 5, 2: 0, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-232.29953953044213,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.716754337009355,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.28799924510503,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.32538020908485,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-151.61442103633837,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.205304347349234,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.45025053523551,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.1130122150815,"{0: 15, 1: 5, 2: 6, 3: 4, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-288.6368994234862,"{0: 13, 1: 4, 2: 6, 3: 3, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.55889579365338,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.94866402875235,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.92454663890112,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
